No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
127,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993ac</a>",86.598250,63.368640,SN,14690,0.049000,SLS,49,0,0,3,1,0,19,16,0,0,126,126
128,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993ae</a>",22.453670,-1.976980,SN,,,,45,0,1,5,0,0,14,13,0,0,127,127
129,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993ag</a>",150.893738,-35.462631,SN,,,,56,0,3,2,0,0,26,22,0,0,128,128
130,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J100335.44-352740.9</a>",150.897690,-35.461385,G,14718,0.049094,SLS,61,0,27,7,6,2,27,22,2,1,129,129
131,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1993ah</a>",357.959308,-27.961783,SN,,,,34,0,0,2,0,0,11,10,0,0,130,130
132,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1994M</a>",187.785880,0.605530,SN,6955,0.023200,SLS,77,1,2,4,1,0,29,24,0,0,131,131
133,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1994Q</a>",252.462750,40.432090,SN,8863,0.029564,SLS,52,1,1,3,1,0,13,12,0,0,132,132
134,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1994S</a>",187.840920,29.134500,SN,4550,0.015177,SLS,85,1,4,4,1,0,27,22,0,0,133,133
135,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1994T</a>",200.377880,-2.149470,SN,10390,0.034656,SLS,44,0,2,3,1,0,22,22,0,0,134,134
136,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4493</a>",187.784875,0.613702,G,6920,0.023083,SLS,130,0,81,25,22,10,30,25,2,2,135,135
137,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1995ac</a>",341.392250,-8.751310,SN,15006,0.050055,SLS,64,0,3,4,1,0,25,21,0,0,136,136
138,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">2MFGC 17122</a>",341.392144,-8.750778,G,14961,0.049904,SLS,90,0,64,22,17,6,26,22,2,2,137,137
139,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1995ak</a>",41.453460,3.230580,SN,6811,0.022719,SLS,48,0,3,4,1,0,26,21,0,0,138,138
140,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1996C</a>",207.746194,49.343600,SN,8094,0.027000,SLS,60,0,2,2,1,0,27,22,1,0,139,139
141,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">WISEA J003618.14+112335.3</a>",9.075618,11.393140,G,10781,0.035963,SLS,57,0,41,9,10,2,26,20,1,0,140,140
142,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">SN 1996bl</a>",9.074880,11.394580,SN,10793,0.036000,SLS,56,0,1,5,1,0,25,20,0,0,141,141
143,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">HDCE 1175</a>",330.801933,-31.991120,GGroup,2567,0.008563,SUN,17,0,0,1,3,0,4,0,0,0,142,142
144,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 0507 GROUP</a>",20.829460,33.360764,GGroup,5702,0.019020,SUN,77,0,7,2,7,0,5,0,0,0,143,143
