No.,Object Name,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,ROW_IDX,ROW_NUM
33,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 224-104</a>",252.463249,40.433506,G,8832,0.029460,SLS,75,0,82,16,13,10,14,13,1,1,32,32
34,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">CGCG 111-016</a>",258.893259,16.324927,G,9193,0.030665,SUN,75,0,39,10,7,4,25,19,2,0,33,33
35,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">IC 4919</a>",300.037693,-55.373394,G,4264,0.014224,S1L,66,2,9,7,5,11,19,22,3,0,34,34
36,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 234- G 069</a>",311.477858,-51.391345,G,4381,0.014615,S1L,101,2,46,10,12,16,29,28,4,1,35,35
37,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 7014</a>",316.967275,-47.178926,G,4857,0.016201,SUN,110,6,60,13,15,17,18,20,5,1,36,36
38,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 7331</a>",339.266927,34.415756,G,816,0.002722,SUN,1087,30,280,87,55,8,54,66,127,17,37,37
39,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 291- G 011</a>",348.800043,-44.736797,G,12981,0.043300,SLS,66,1,39,12,6,14,27,24,4,1,38,38
40,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">ESO 471- G 027</a>",357.959754,-27.965305,G,8803,0.029364,SUN,64,1,38,14,13,18,12,14,5,1,39,39
41,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 066</a>",170.062544,12.991614,G,722,0.002408,S1L,1366,26,365,133,66,11,79,101,126,48,40,40
42,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">MESSIER 101</a>",210.802267,54.348950,G,241,0.000804,S1L,1933,28,206,92,43,13,116,132,147,14,41,41
43,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 1326A</a>",51.285596,-36.364296,G,1831,0.006108,SUN,86,5,32,20,16,18,23,30,6,2,42,42
44,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4373</a>",186.324216,-39.759776,G,3396,0.011328,SUN,118,6,62,10,15,19,15,20,7,1,43,43
45,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 4496A</a>",187.913768,3.939528,G,1730,0.005771,SUN,251,7,52,39,29,4,47,64,25,2,44,44
46,"<a HREF=""#"" onclick=""getObjectSearchInfo(jQuery, 2, this); return false;"">NGC 5193</a>",202.973065,-33.234289,G,3711,0.012379,SUN,119,5,58,20,20,17,18,28,5,1,45,45
